OMP_ST:71129_!_Escherichia coli K-12 BW25113 murB::SPA-kan
OMP_ST:71130_!_Escherichia coli K-12 BW25113 birA::SPA-kan
OMP_ST:71131_!_Escherichia coli K-12 BW25113 nusG::SPA-kan
OMP_ST:71132_!_Escherichia coli K-12 BW25113 rpoC::SPA-kan
OMP_ST:71133_!_Escherichia coli K-12 BW25113 lexA::SPA-kan
OMP_ST:71134_!_Escherichia coli K-12 BW25113 dnaB::SPA-kan
OMP_ST:71135_!_Escherichia coli K-12 BW25113 alsK::SPA-kan
OMP_ST:71136_!_Escherichia coli K-12 BW25113 groS::SPA-kan
OMP_ST:71137_!_Escherichia coli K-12 BW25113 yjeE:SPA-kan
OMP_ST:71138_!_Escherichia coli K-12 BW25113 valS::SPA-kan
OMP_ST:71139_!_Escherichia coli K-12 GSO143
OMP_ST:71140_!_Escherichia coli K-12 GSO144
OMP_ST:71141_!_Escherichia coli K-12 GSO145
OMP_ST:71142_!_Escherichia coli K-12 GSO146
OMP_ST:71143_!_Escherichia coli K-12 GSO147
OMP_ST:71144_!_Escherichia coli K-12 GSO148
OMP_ST:71145_!_Escherichia coli K-12 GSO149
OMP_ST:71146_!_Escherichia coli K-12 GSO150
OMP_ST:71147_!_Escherichia coli K-12 GSO151
OMP_ST:71148_!_Escherichia coli K-12 GSO153
OMP_ST:71149_!_Escherichia coli K-12 GSO154
OMP_ST:71150_!_Escherichia coli K-12 GSO155
OMP_ST:71151_!_Escherichia coli K-12 GSO157
OMP_ST:71152_!_Escherichia coli K-12 GSO158
OMP_ST:71153_!_Escherichia coli K-12 GSO159
OMP_ST:71154_!_Escherichia coli K-12 GSO160
OMP_ST:71155_!_Escherichia coli K-12 GSO161
OMP_ST:71156_!_Escherichia coli K-12 GSO163
OMP_ST:71157_!_Escherichia coli K-12 GSO164
OMP_ST:71158_!_Escherichia coli K-12 GSO165
OMP_ST:71159_!_Escherichia coli K-12 GSO167
OMP_ST:71160_!_Escherichia coli K-12 GSO168
OMP_ST:71161_!_Escherichia coli K-12 GSO169
OMP_ST:71162_!_Escherichia coli K-12 GSO170
OMP_ST:71163_!_Escherichia coli K-12 GSO171
OMP_ST:71164_!_Escherichia coli K-12 GSO172
OMP_ST:71165_!_Escherichia coli K-12 GSO173
OMP_ST:71166_!_Escherichia coli K-12 GSO174
OMP_ST:71167_!_Escherichia coli K-12 GSO175
OMP_ST:71168_!_Escherichia coli K-12 GSO176
OMP_ST:71169_!_Escherichia coli K-12 GSO177
OMP_ST:71170_!_Escherichia coli K-12 GSO178
OMP_ST:71171_!_Escherichia coli K-12 GSO179
OMP_ST:71172_!_Escherichia coli K-12 GSO180
OMP_ST:71173_!_Escherichia coli K-12 GSO181
OMP_ST:71174_!_Escherichia coli K-12 GSO182
OMP_ST:71175_!_Escherichia coli K-12 GSO183
OMP_ST:71176_!_Escherichia coli K-12 GSO184
OMP_ST:71177_!_Escherichia coli K-12 GSO185
OMP_ST:71178_!_Escherichia coli K-12 GSO186
OMP_ST:71179_!_Escherichia coli K-12 GSO187
OMP_ST:71180_!_Escherichia coli K-12 GSO188
OMP_ST:71181_!_Escherichia coli K-12 GSO189
OMP_ST:71182_!_Escherichia coli K-12 GSO190
OMP_ST:71183_!_Escherichia coli K-12 GSO191
OMP_ST:71184_!_Escherichia coli K-12 GSO192
OMP_ST:71185_!_Escherichia coli K-12 GSO195
OMP_ST:71186_!_Escherichia coli K-12 GSO206
OMP_ST:71187_!_Escherichia coli K-12 GSO210
OMP_ST:71188_!_Escherichia coli K-12 GSO211
OMP_ST:71189_!_Escherichia coli K-12 GSO214
OMP_ST:71190_!_Escherichia coli K-12 GSO215
OMP_ST:71191_!_Escherichia coli K-12 GSO219
OMP_ST:71192_!_Escherichia coli K-12 GSO222
OMP_ST:71193_!_Escherichia coli K-12 GSO224
OMP_ST:71194_!_Escherichia coli K-12 GSO225
